"Features","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Prevalence","Detection Rate","Detection Prevalence","Accuracy"
"5",0.995035460992908,0.633187772925764,0.943510423671822,0.953947368421053,0.860280658938377,0.856009762050031,0.907260524710189,0.944478340451495
"10",0.99290780141844,0.737991266375546,0.958904109589041,0.944134078212291,0.860280658938377,0.854179377669311,0.89078706528371,0.957291031116534
"15",0.994326241134752,0.751091703056769,0.960932145305003,0.955555555555555,0.860280658938377,0.855399633923124,0.890176937156803,0.960341671751068
"20",0.994326241134752,0.77292576419214,0.96423658872077,0.956756756756757,0.860280658938377,0.855399633923124,0.88712629652227,0.963392312385601
"30",0.99645390070922,0.816593886462882,0.970974429854872,0.973958333333334,0.860280658938377,0.857230018303844,0.882855399633923,0.971323978035387
"40",0.99645390070922,0.812227074235808,0.970303867403315,0.973821989528796,0.860280658938377,0.857230018303844,0.88346552776083,0.970713849908481
"50",0.995744680851064,0.812227074235808,0.970283344851417,0.96875,0.860280658938377,0.856619890176937,0.882855399633923,0.970103721781574
"60",0.99645390070922,0.812227074235808,0.970303867403315,0.973821989528796,0.860280658938377,0.857230018303844,0.88346552776083,0.970713849908481
"70",0.99645390070922,0.812227074235808,0.970303867403315,0.973821989528796,0.860280658938377,0.857230018303844,0.88346552776083,0.970713849908481
