"PC","Proportion of Variance","Cumulative Proportion"
"245",0.00047,0.94312
"246",0.00046,0.94358
"247",0.00046,0.94404
"248",0.00045,0.94449
"249",0.00045,0.94494
"250",0.00045,0.94539
"251",0.00044,0.94582
"252",0.00044,0.94626
"253",0.00043,0.94669
"254",0.00043,0.94713
"255",0.00043,0.94755
"256",0.00043,0.94798
"257",0.00042,0.9484
"258",0.00042,0.94882
"259",0.00042,0.94924
"260",0.00041,0.94965
"261",0.00041,0.95006
"262",4e-04,0.95046
"263",4e-04,0.95086
"264",0.00039,0.95126
"265",0.00039,0.95165
"266",0.00039,0.95204
"267",0.00039,0.95243
"268",0.00039,0.95281
"269",0.00038,0.95319
"270",0.00038,0.95357
"271",0.00037,0.95394
"272",0.00037,0.95431
"273",0.00036,0.95467
"274",0.00036,0.95503
"275",0.00036,0.95539
"276",0.00036,0.95575
"277",0.00035,0.9561
"278",0.00035,0.95645
"279",0.00035,0.9568
"280",0.00034,0.95714
"281",0.00034,0.95748
"282",0.00034,0.95782
"283",0.00033,0.95815
"284",0.00033,0.95848
"285",0.00033,0.95881
"286",0.00033,0.95914
"287",0.00032,0.95946
"288",0.00032,0.95978
"289",0.00032,0.9601
"290",0.00032,0.96042
"291",0.00032,0.96073
"292",0.00031,0.96104
"293",0.00031,0.96135
"294",0.00031,0.96166
"295",0.00031,0.96197
"296",3e-04,0.96227
"297",3e-04,0.96258
"298",3e-04,0.96288
"299",3e-04,0.96318
"300",3e-04,0.96347
"301",0.00029,0.96376
"302",0.00029,0.96405
"303",0.00029,0.96434
"304",0.00029,0.96463
"305",0.00028,0.96491
"306",0.00028,0.96519
"307",0.00028,0.96547
"308",0.00028,0.96575
"309",0.00027,0.96603
"310",0.00027,0.9663
"311",0.00027,0.96657
"312",0.00027,0.96684
"313",0.00027,0.96711
"314",0.00027,0.96737
"315",0.00026,0.96764
"316",0.00026,0.9679
"317",0.00026,0.96816
"318",0.00026,0.96841
"319",0.00025,0.96867
"320",0.00025,0.96892
"321",0.00025,0.96917
"322",0.00025,0.96942
"323",0.00025,0.96967
"324",0.00025,0.96992
"325",0.00025,0.97016
"326",0.00024,0.9704
"327",0.00024,0.97064
"328",0.00024,0.97088
"329",0.00024,0.97111
"330",0.00023,0.97135
"331",0.00023,0.97158
"332",0.00023,0.97181
"333",0.00023,0.97204
"334",0.00023,0.97227
"335",0.00023,0.97249
"336",0.00022,0.97272
"337",0.00022,0.97294
"338",0.00022,0.97316
"339",0.00022,0.97337
"340",0.00022,0.97359
"341",0.00021,0.9738
"342",0.00021,0.97402
"343",0.00021,0.97423
"344",0.00021,0.97443
"345",0.00021,0.97464
"346",2e-04,0.97485
"347",2e-04,0.97505
"348",2e-04,0.97525
"349",2e-04,0.97545
"350",2e-04,0.97565
"351",2e-04,0.97585
"352",2e-04,0.97604
"353",2e-04,0.97624
"354",0.00019,0.97643
"355",0.00019,0.97662
"356",0.00019,0.97681
"357",0.00019,0.977
"358",0.00019,0.97719
"359",0.00018,0.97737
"360",0.00018,0.97756
"361",0.00018,0.97774
"362",0.00018,0.97792
"363",0.00018,0.9781
"364",0.00018,0.97828
"365",0.00018,0.97845
"366",0.00018,0.97863
"367",0.00017,0.9788
"368",0.00017,0.97897
"369",0.00017,0.97915
"370",0.00017,0.97932
"371",0.00017,0.97949
"372",0.00017,0.97966
"373",0.00017,0.97982
"374",0.00017,0.97999
"375",0.00017,0.98016
"376",0.00017,0.98032
"377",0.00016,0.98048
"378",0.00016,0.98065
"379",0.00016,0.98081
"380",0.00016,0.98096
"381",0.00016,0.98112
"382",0.00016,0.98128
"383",0.00016,0.98143
"384",0.00016,0.98159
"385",0.00015,0.98174
"386",0.00015,0.9819
"387",0.00015,0.98205
"388",0.00015,0.9822
"389",0.00015,0.98235
"390",0.00015,0.98249
"391",0.00015,0.98264
"392",0.00014,0.98278
"393",0.00014,0.98293
"394",0.00014,0.98307
"395",0.00014,0.98321
"396",0.00014,0.98336
"397",0.00014,0.9835
"398",0.00014,0.98364
"399",0.00014,0.98377
"400",0.00014,0.98391
"401",0.00014,0.98405
"402",0.00014,0.98419
"403",0.00013,0.98432
"404",0.00013,0.98445
"405",0.00013,0.98459
"406",0.00013,0.98472
"407",0.00013,0.98485
"408",0.00013,0.98498
"409",0.00013,0.98511
"410",0.00013,0.98523
"411",0.00013,0.98536
"412",0.00013,0.98549
"413",0.00013,0.98561
"414",0.00012,0.98574
"415",0.00012,0.98586
"416",0.00012,0.98598
"417",0.00012,0.9861
"418",0.00012,0.98622
"419",0.00012,0.98634
"420",0.00012,0.98646
"421",0.00012,0.98657
"422",0.00012,0.98669
"423",0.00012,0.98681
"424",0.00012,0.98692
"425",0.00012,0.98704
"426",0.00011,0.98715
"427",0.00011,0.98727
"428",0.00011,0.98738
"429",0.00011,0.98749
"430",0.00011,0.9876
"431",0.00011,0.98771
"432",0.00011,0.98782
"433",0.00011,0.98793
"434",0.00011,0.98804
"435",0.00011,0.98815
"436",0.00011,0.98825
"437",0.00011,0.98836
"438",0.00011,0.98847
"439",1e-04,0.98857
"440",1e-04,0.98867
"441",1e-04,0.98878
"442",1e-04,0.98888
"443",1e-04,0.98898
"444",1e-04,0.98909
"445",1e-04,0.98919
"446",1e-04,0.98929
"447",1e-04,0.98939
"448",1e-04,0.98949
"449",1e-04,0.98959
"450",1e-04,0.98968
"451",1e-04,0.98978
"452",1e-04,0.98988
"453",1e-04,0.98998
"454",1e-04,0.99007
"455",1e-04,0.99017
"456",9e-05,0.99026
"457",9e-05,0.99036
"458",9e-05,0.99045
"459",9e-05,0.99054
"460",9e-05,0.99063
"461",9e-05,0.99073
"462",9e-05,0.99082
"463",9e-05,0.99091
"464",9e-05,0.991
"465",9e-05,0.99109
"466",9e-05,0.99117
"467",9e-05,0.99126
"468",9e-05,0.99135
"469",9e-05,0.99144
"470",9e-05,0.99152
"471",9e-05,0.99161
"472",8e-05,0.99169
"473",8e-05,0.99178
"474",8e-05,0.99186
"475",8e-05,0.99194
"476",8e-05,0.99203
"477",8e-05,0.99211
"478",8e-05,0.99219
"479",8e-05,0.99227
"480",8e-05,0.99235
"481",8e-05,0.99243
"482",8e-05,0.99251
"483",8e-05,0.99259
"484",8e-05,0.99267
"485",8e-05,0.99275
"486",8e-05,0.99282
"487",8e-05,0.9929
"488",8e-05,0.99298
"489",8e-05,0.99305
"490",7e-05,0.99313
"491",7e-05,0.9932
"492",7e-05,0.99327
"493",7e-05,0.99334
"494",7e-05,0.99341
"495",7e-05,0.99348
"496",7e-05,0.99355
"497",7e-05,0.99362
"498",7e-05,0.99369
"499",7e-05,0.99376
"500",7e-05,0.99383
