+ACI-Feature+ACI-	+ACI-Value+ACI-
+ACI-url.icsi.com+ACI-	0
+ACI-url.pacific.net.sg+ACI-	0
+ACI-url.monmouth.com+ACI-	0
+ACI-url.wired.com+ACI-	0
+ACI-url.go2net+ACI-	0
+ACI-url.smiley.gif+ACI-	0
+ACI-url.navigate.b+ACI-	0
+ACI-url.sunsite.unc.edu+ACI-	0
+ACI-url.www.pacific.net.sg+ACI-	0
+ACI-url.home.gif+ACI-	0
+ACI-url.library+ACI-	0
+ACI-url.puc.edu+ACI-	0
+ACI-url.internauts.ca+ACI-	0
+ACI-url.www.worlddrugstore.com+ACI-	0
+ACI-url.www.ibitexas.com+ACI-	0
+ACI-url.ucsd.edu+ACI-	0
+ACI-url.pitcairn.smallb+ACI-	0
+ACI-url.kats+ACI-	0
+ACI-url.cjackson.kandinsky+ACI-	0
+ACI-url.tkaine.rings+ACI-	0
+ACI-url.any.time+ACI-	0
+ACI-url.FlowSoft.com+ACI-	0
+ACI-url.geoguideii.nh+ACI-	0
+ACI-url.charlie+ACI-	0
+ACI-url.heartland.meadows+ACI-	0
+ACI-url.home.netscape.com+ACI-	0
+ACI-url.9439.butt2+ACI-	0
+ACI-url.catringn.gif+ACI-	0
+ACI-url.martnet+ACI-	0
+ACI-url.lycos.de+ACI-	0
+ACI-url.catringn+ACI-	0
+ACI-url.catring1+ACI-	0
+ACI-url.fools.pixs+ACI-	0
+ACI-url.logos+ACI-	0
+ACI-url.private+ACI-	0
+ACI-url.ng.spacedesc+ACI-	0
+ACI-url.larx.com+ACI-	0
+ACI-url.site+ACI-	0
+ACI-url.pointe.1154+ACI-	0
+ACI-url.banners+ACI-	0
+ACI-url.pixs.smiley+ACI-	0
+ACI-url.www.123greetings.com+ACI-	0
+ACI-url.www.inwap.com+ACI-	0
+ACI-url.cjackson+ACI-	0
+ACI-url.labyrinth.9439+ACI-	0
+ACI-url.generated.images+ACI-	0
+ACI-url.image.ng+ACI-	0
+ACI-url.lolnad.private+ACI-	0
+ACI-url.library.pitcairn+ACI-	0
+ACI-url.www.mei.co.jp+ACI-	0
+ACI-url.april+ACI-	0
+ACI-url.derived+ACI-	0
+ACI-url.smiley+ACI-	0
+ACI-url.home+ACI-	0
+ACI-url.jsd+ACI-	0
+ACI-url.sonic.net+ACI-	0
+ACI-url.send.b+ACI-	0
+ACI-url.website.ora.com+ACI-	0
+ACI-url.pawbutton.gif+ACI-	0
+ACI-url.victoria.pharmacy+ACI-	0
+ACI-url.pages+ACI-	0
+ACI-url.worlddrugstore.com+ACI-	0
