"Proportion", "Accuracy", "Sensitivity", "Specificity"
0.100000,  0.96522, 0.99149, 0.80349
0.200000,  0.96400, 0.98865, 0.81223
0.300000,  0.96339, 0.98511, 0.82969
0.400000,  0.96400, 0.98582, 0.82969
0.500000,  0.96400, 0.98440, 0.83843
0.600000,  0.96461, 0.98440, 0.84279
0.700000,  0.96888, 0.98440, 0.87336
0.800000,  0.96522, 0.98511, 0.84279
0.900000,  0.96278, 0.98227, 0.84279
1.000000,  0.96400, 0.98369, 0.84279
